year,status,flag,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,individual_id,cand_last_year,cand_last_team,cand_last_weight,cand_teams
2026,new,,Andrew Austin (Central Michigan),Andrew Austin,Central Michigan,133,32,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Andrew Barbosa (Rutgers),Andrew Barbosa,Rutgers,165,14,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Andrew Binni (Navy),Andrew Binni,Navy,125,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Andrew Reall (Brown),Andrew Reall,Brown,197,18,NA,3,2,NA,NA,NA,NA,NA
2026,new,,Angelo Posada (Stanford),Angelo Posada,Stanford,197,9,Sixth,4,3,NA,NA,NA,NA,NA
2026,new,,Austin McBurney (Brown),Austin McBurney,Brown,149,33,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Ben Davino (Ohio State),Ben Davino,Ohio State,133,2,Second,4,1,NA,NA,NA,NA,NA
2026,new,,Ben Vanadia (Purdue),Ben Vanadia,Purdue,197,26,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Billy DeKraker (Northwestern),Billy DeKraker,Northwestern,141,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Blake Schaffer (Kent State),Blake Schaffer,Kent State,197,32,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Brady Roark (South Dakota State),Brady Roark,South Dakota State,125,27,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Brenan Morgan (Virginia),Brenan Morgan,Virginia,285,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Brock Herman (Little Rock),Brock Herman,Little Rock,149,19,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Brock Woodcock (SIU Edwardsville),Brock Woodcock,SIU Edwardsville,165,21,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Bryce Hepner (North Carolina),Bryce Hepner,North Carolina,165,9,Seventh,4,2,NA,NA,NA,NA,NA
2026,new,,Bryce Lowery (Indiana),Bryce Lowery,Indiana,157,29,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Caedyn Ricciardi (Navy),Caedyn Ricciardi,Navy,141,17,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Caleb Campos (American),Caleb Campos,American,184,10,Fourth,6,2,NA,NA,NA,NA,NA
2026,new,,Caleb Uhlenhopp (Utah Valley),Caleb Uhlenhopp,Utah Valley,184,32,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Cameron Catrabone (Michigan),Cameron Catrabone,Michigan,157,15,Seventh,5,2,NA,NA,NA,NA,NA
